,mfd_date,O/N,1W,2W,1M,3M,6M,9M,1Y,diff
0,0,2.906,3.584,4.117,4.057,4.6665,4.8716,4.9373,5.0,427
1,1,2.847,3.51,3.981,4.096,4.6654,4.8714,4.9364,5.0,428
2,2,2.824,3.391,3.765,4.033,4.6652,4.8608,4.9323,5.0,429
3,3,2.815,3.275,3.615,3.97,4.6632,4.864,4.9339,5.0,430
4,4,2.807,3.188,3.497,3.965,4.6539,4.8631,4.9328,5.0,431
5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432
6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433
7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434
8,1,2.816,3.152,3.407,3.93,4.6522,4.8638,4.9326,5.0,435
9,2,2.839,3.161,3.414,3.892,4.6495,4.8564,4.9305,5.0,436
10,3,2.859,3.203,3.404,3.906,4.642,4.8578,4.9318,5.0,437
11,4,2.853,3.235,3.442,3.992,4.6421,4.8548,4.9304,5.0,438
12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439
13,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440
14,0,2.851,3.244,3.446,4.008,4.6393,4.8525,4.9301,5.0,441
15,1,2.853,3.25,3.495,4.014,4.6349,4.8533,4.9301,5.0,442
16,2,2.847,3.287,3.519,4.06,4.6296,4.8533,4.93,5.0,443
17,3,2.841,3.3,3.518,4.18,4.6206,4.8463,4.926,4.999,444
18,4,2.84,3.3,3.553,4.31,4.607,4.842,4.9228,4.9975,445
19,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446
20,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447
21,0,2.797,3.198,3.438,4.277,4.5986,4.8324,4.9165,4.9965,448
22,1,2.716,3.111,3.289,4.098,4.587,4.8225,4.9098,4.9925,449
23,2,2.691,3.142,3.221,4.0,4.5741,4.8184,4.9055,4.9915,450
24,3,2.677,3.255,3.424,3.998,4.562,4.8074,4.9019,4.9915,451
25,4,2.678,3.301,3.444,4.012,4.5565,4.8015,4.9,4.9905,452
26,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453
27,6,2.658,3.073,3.214,4.057,4.5528,4.8,4.9,4.9915,454
28,0,2.543,2.905,3.132,4.006,4.55,4.8,4.9,4.9905,455
29,1,2.5325,2.874,3.271,3.998,4.5445,4.8,4.9,4.9905,456
